cl	scl	ord	fam	gen	sp	ref	newref	famlab	genlab	splab	cod	dispcat	disp	area	fruit	leng	diam	frfm	pdm	sdm	seeds	seedm	ry	kjg	kjfr	pcw	lip	pro	nsc	ash	fib
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Monanthotaxis	congensis	75	35	ANNONACE	Monantho	congensi	MCON	Mixed		Africa	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	0.15	0.09	0.1	NA	0.3
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Monodora	sp.	75	35	ANNONACE	Monodora	sp.	MOSP	Mixed		Africa	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.8	0.01	0.05	0.29	NA	0.56
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Oxandra	asbeckii	60	2	ANNONACE	Oxandra	asbeckii	OASB	Mixed		NTAmerica	Berry2	10.7	10	NA	NA	NA	NA	NA	NA	9.25	NA	76.2	NA	0.03	0.51	NA	NA
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Pachypodanthium	standtii	40	41	ANNONACE	Pachypod	standtii	PSTA	Mixed		Africa	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	18.01	NA	72	0.06	0.04	0.89	0.01	NA
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Polyalthia	suaveolens	40	41	ANNONACE	Polyalth	suaveole	PSUA	Mixed		Africa	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	18.32	NA	69	0.08	0.06	0.85	0.02	NA
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Pseudoxandra	cuspidata	71	9	ANNONACE	Pseudoxa	cuspidat	PCUS	Mixed		NTAmerica	Drupe2	15	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Rauwenhoffia	leichardtii	43	4	ANNONACE	Rauwenho	leichard	RLEI	Birds		Australasia	Berry2	32.5	11.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07	0.01	NA	NA	NA
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Rollinia	exsucca	60	2	ANNONACE	Rollinia	exsucca	REXS	Mammals		NTAmerica	Berry2	13	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Unonopsis	pittieri	3	46	ANNONACE	Unonopsi	pittieri	UPIT	Mixed		NTAmerica	Berry2	NA	NA	3.71	0.86	0.84	NA	NA	27.1	18.58	15.97	NA	0.08	0.04	0.84	0.04	NA
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Unonopsis	rufescens	71	9	ANNONACE	Unonopsi	rufescen	URUF	Mixed		NTAmerica	Drupe2	15	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
