FAMILY	GENUS	SPECIES	NEWREF	REFERENCE
LAURACEAE	Noid	noid3	9	Erard, C., M. Thery and D. Sabatier (1989)
LAURACEAE	Noid	noid4	9	Erard, C., M. Thery and D. Sabatier (1989)
LAURACEAE	Ocotea	austinii	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Ocotea	bernouliana	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Ocotea	canaliculata	39	Snow, D.W. (1962)
LAURACEAE	Ocotea	cf.Oblonga	9	Erard, C., M. Thery and D. Sabatier (1989)
LAURACEAE	Ocotea	klotzschiana1	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Ocotea	klotzschiana2	37	Snow, B.K. (1977)
LAURACEAE	Ocotea	oblonga	39	Snow, D.W. (1962)
LAURACEAE	Ocotea	puberula	2	Atramentowicz, M. (1988)
LAURACEAE	Ocotea	sp.1	40	Snow, D.W. (1981)
LAURACEAE	Ocotea	sp.2	40	Snow, D.W. (1981)
LAURACEAE	Ocotea	sp.fl	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Ocotea	sp.k2	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Ocotea	sp.rp	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Ocotea	tonduzii	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Ocotea	usambarensis	8	Dowsett-Lemaire, F. (1988)
LAURACEAE	Ocotea	wachenheimii1	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Ocotea	wachenheimii2	39	Snow, D.W. (1962)
LAURACEAE	Persea	sp.1	46	White, S.C. (1974)
LAURACEAE	Persea	sp.2	46	White, S.C. (1974)
LAURACEAE	Persea	sp.rp	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Persea	veraguensis	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Phoebe	mexicana	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Phoebe	neurophylla	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LECYTHIDACEAE	Barringtonia	racemosa	31	O'Dowd, D.J. and P.S. Lake (1991)
LILIACEAE	Asparagus	acutifolius	17	Herrera, C.M. (1987)
LILIACEAE	Asparagus	albus	17	Herrera, C.M. (1987)
LILIACEAE	Asparagus	aphyllus	17	Herrera, C.M. (1987)
LILIACEAE	Asparagus	setaceus	8	Dowsett-Lemaire, F. (1988)
LILIACEAE	Clintonia	uniflora	33	Piper, J.K. (1986)
LILIACEAE	Convallaria	majalis	17	Herrera, C.M. (1987)
LILIACEAE	Dianella	tasmanica	14	French, K. (1991)
LILIACEAE	Disporum	hookeri	33	Piper, J.K. (1986)
LILIACEAE	Disporum	trachycarpum	33	Piper, J.K. (1986)
LILIACEAE	Maianthemum	bifolium	10	Eriksson, O. and J. Ehrlen (1991)
LILIACEAE	Paris	quadrifolia	17	Herrera, C.M. (1987)
LILIACEAE	Polygonatum	commutatum	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
LILIACEAE	Polygonatum	multiflorum	10	Eriksson, O. and J. Ehrlen (1991)
LILIACEAE	Polygonatum	odoratum	17	Herrera, C.M. (1987)
LILIACEAE	Polygonatum	verticillatum	17	Herrera, C.M. (1987)
LILIACEAE	Ripogonum	scandens	47	Williams, C.K. (1982)
LILIACEAE	Ruscus	aculeatus	17	Herrera, C.M. (1987)
LILIACEAE	Ruscus	hypophyllum	17	Herrera, C.M. (1987)
LILIACEAE	Smilacina	paniculata	49	Herrera, C.M. and P. Jordano (unpubl. data)
LILIACEAE	Smilacina	racemosa	46	White, S.C. (1974)
LILIACEAE	Smilacina	stellata	33	Piper, J.K. (1986)
LILIACEAE	Streptopus	amplexifolius	33	Piper, J.K. (1986)
LINACEAE	Hebepetalum	humiriifolium	9	Erard, C., M. Thery and D. Sabatier (1989)
LOGANIACEAE	Anthocleista	grandiflora	8	Dowsett-Lemaire, F. (1988)
LOGANIACEAE	Strychnos	colubrina	4	Crome, F.H.J. (1975)
LOGANIACEAE	Strychnos	inocua	43	Viljoen, S. (1983)
LORANTHACEAE	Amylotheca	dictyophleba	4	Crome, F.H.J. (1975)
LORANTHACEAE	Cladocolea	lenticellata	34	Restrepo, C. (1987)
LORANTHACEAE	Dendrophtoe	falcata	4	Crome, F.H.J. (1975)
LORANTHACEAE	Dendrophtoe	pendens	8	Dowsett-Lemaire, F. (1988)
LORANTHACEAE	Englerina	inaequilatera	8	Dowsett-Lemaire, F. (1988)
LORANTHACEAE	Gaiadendron	poasense	49	Herrera, C.M. and P. Jordano (unpubl. data)
LORANTHACEAE	Phragmanthera	usuiensis	8	Dowsett-Lemaire, F. (1988)
LORANTHACEAE	Tapinanthus	bipartitus	8	Dowsett-Lemaire, F. (1988)
LORANTHACEAE	Tapinanthus	leendertziae	16	Godschalk, S.K.B. (1983)
LORANTHACEAE	Tapinanthus	subulatus	8	Dowsett-Lemaire, F. (1988)
MAGNOLIACAEAE	Elmerrillia	papuana	3	Beehler, B. (1983)
MALPIGHIACEAE	Byrsonima	crassifolia	48	Worthington, A.H. (1989)
MALPIGHIACEAE	Byrsonima	obversa	9	Erard, C., M. Thery and D. Sabatier (1989)
MALVACEAE	Hampea	appendiculata	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
MALVACEAE	Malvaviscus	arboreus	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
MARANTHACEAE	Megaphrynium	gabonense	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
MARCGRAVIACEAE	Norantea	guianensis	9	Erard, C., M. Thery and D. Sabatier (1989)
MELASTOMATACEAE	Bellucia	grossularioides	2	Atramentowicz, M. (1988)
MELASTOMATACEAE	Conostegia	bernoulliana	7	Dinerstein, E. (1986)
MELASTOMATACEAE	Henrietta	succosa	2	Atramentowicz, M. (1988)
MELASTOMATACEAE	Loreya	mespiloides	2	Atramentowicz, M. (1988)
MELASTOMATACEAE	Miconia	bipulifera	49	Herrera, C.M. and P. Jordano (unpubl. data)
MELASTOMATACEAE	Miconia	sp.1	46	White, S.C. (1974)
MELASTOMATACEAE	Miconia	sp.2	49	Herrera, C.M. and P. Jordano (unpubl. data)
MELASTOMATACEAE	Mouriri	nervosa	9	Erard, C., M. Thery and D. Sabatier (1989)
MELASTOMATACEAE	Mouriri	parvifolia	2	Atramentowicz, M. (1988)
MELASTOMATACEAE	Mouriri	sagotiana	46	White, S.C. (1974)
MELIACEAE	Aglaia	cf.Versteeghi	3	Beehler, B. (1983)
MELIACEAE	Aglaia	elliptica	32	Pannell, C.M. and M.J. Koziol (1987)
MELIACEAE	Aglaia	korthalsii	32	Pannell, C.M. and M.J. Koziol (1987)
MELIACEAE	Aglaia	oligocarpa	32	Pannell, C.M. and M.J. Koziol (1987)
MELIACEAE	Aglaia	sp.2	32	Pannell, C.M. and M.J. Koziol (1987)
MELIACEAE	Aglaia	speciosa	32	Pannell, C.M. and M.J. Koziol (1987)
MELIACEAE	Aglaia	teysmanniana	32	Pannell, C.M. and M.J. Koziol (1987)
MELIACEAE	Chisocheton	weinlandii	3	Beehler, B. (1983)
MELIACEAE	Dysoxylum	aff.klanderi	4	Crome, F.H.J. (1975)
MELIACEAE	Dysoxylum	cf.Macrothyrsum	3	Beehler, B. (1983)
MELIACEAE	Dysoxylum	micranthum	4	Crome, F.H.J. (1975)
MELIACEAE	Dysoxylum	oppositifolium	4	Crome, F.H.J. (1975)
MELIACEAE	Ekebergia	capensis1	15	Frost, P.G.H. (1980)
MELIACEAE	Ekebergia	capensis2	43	Viljoen, S. (1983)
MELIACEAE	Guarea	kunthiana	9	Erard, C., M. Thery and D. Sabatier (1989)
MELIACEAE	Lansium	domesticum	32	Pannell, C.M. and M.J. Koziol (1987)
MELIACEAE	Lepidotrichilia	volkensii	8	Dowsett-Lemaire, F. (1988)
MELIACEAE	Melia	azedarach	4	Crome, F.H.J. (1975)
MELIACEAE	Trichilia	cf.Quadrijuga	9	Erard, C., M. Thery and D. Sabatier (1989)
MELIACEAE	Trichilia	cuneata1	13	Foster, M.S. and R.W. McDiarmid (1983)
MELIACEAE	Trichilia	cuneata2	49	Herrera, C.M. and P. Jordano (unpubl. data)
MELIACEAE	Trichilia	dregeana1	43	Viljoen, S. (1983)
MELIACEAE	Trichilia	dregeana2	8	Dowsett-Lemaire, F. (1988)
MELIACEAE	Trichilia	emetica1	15	Frost, P.G.H. (1980)
MELIACEAE	Trichilia	emetica2	43	Viljoen, S. (1983)
MELIACEAE	Trichilia	gilgiana	41	Sourd, C. and A. Gauthier-Hion (1986)
MELIACEAE	Trichilia	sp.1	41	Sourd, C. and A. Gauthier-Hion (1986)
MELIANTHACEAE	Bersama	abyssinica	8	Dowsett-Lemaire, F. (1988)
MENISPERMACEAE	Hypserpa	decumbens	4	Crome, F.H.J. (1975)
MENISPERMACEAE	Hypserpa	laurina	4	Crome, F.H.J. (1975)
MENISPERMACEAE	Menispermum	canadense	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
MENISPERMACEAE	Stephania	abyssinica	8	Dowsett-Lemaire, F. (1988)
MONIMIACEAE	Hedycarya	angustifolia	14	French, K. (1991)
MONIMIACEAE	Hedycarya	arborea	47	Williams, C.K. (1982)
MONIMIACEAE	Siparuna	decipiens	9	Erard, C., M. Thery and D. Sabatier (1989)
MONIMIACEAE	Tetrasynandra	laxiflora	4	Crome, F.H.J. (1975)
MONIMIACEAE	Xymalos	monospora	8	Dowsett-Lemaire, F. (1988)
MORACEAE	Brosimum	alicastrum	11	Estrada, A., R. Coates-Estrada and C. V‡zquez-Yanes (1984)
MORACEAE	Brosimum	guianense	9	Erard, C., M. Thery and D. Sabatier (1989)
MORACEAE	Chlorophora	excelsa	42	Thomas, D.W. (1984)
MORACEAE	Ficus	aff.cotinifolia	11	Estrada, A., R. Coates-Estrada and C. V‡zquez-Yanes (1984)
MORACEAE	Ficus	annulata	25	Lambert, F. (1989)
MORACEAE	Ficus	aurantia	25	Lambert, F. (1989)
MORACEAE	Ficus	benjamin	25	Lambert, F. (1989)
MORACEAE	Ficus	binnendyckii	25	Lambert, F. (1989)
MORACEAE	Ficus	bracteata	25	Lambert, F. (1989)
MORACEAE	Ficus	broadwayi	2	Atramentowicz, M. (1988)
MORACEAE	Ficus	capensis1	8	Dowsett-Lemaire, F. (1988)
MORACEAE	Ficus	capensis2	42	Thomas, D.W. (1984)
MORACEAE	Ficus	carica	17	Herrera, C.M. (1987)
MORACEAE	Ficus	catappaefolia	2	Atramentowicz, M. (1988)
MORACEAE	Ficus	caulocarpa	25	Lambert, F. (1989)
MORACEAE	Ficus	consociata	25	Lambert, F. (1989)
MORACEAE	Ficus	cotinifolia	23	Jordano, P. (1983)
MORACEAE	Ficus	crassiramea	25	Lambert, F. (1989)
MORACEAE	Ficus	crassiuscula	7	Dinerstein, E. (1986)
MORACEAE	Ficus	cucurbitina	25	Lambert, F. (1989)
MORACEAE	Ficus	delosyce	25	Lambert, F. (1989)
MORACEAE	Ficus	depressa	25	Lambert, F. (1989)
MORACEAE	Ficus	destruens	4	Crome, F.H.J. (1975)
MORACEAE	Ficus	drupacea1	3	Beehler, B. (1983)
MORACEAE	Ficus	drupacea2	25	Lambert, F. (1989)
MORACEAE	Ficus	dubia	25	Lambert, F. (1989)
MORACEAE	Ficus	exasperata	8	Dowsett-Lemaire, F. (1988)
MORACEAE	Ficus	gnaphalocarpa	18	Hladik, A. and C.M. Hladik (1969)
MORACEAE	Ficus	grossula	25	Lambert, F. (1989)
MORACEAE	Ficus	gul	3	Beehler, B. (1983)
MORACEAE	Ficus	heteropleura	25	Lambert, F. (1989)
MORACEAE	Ficus	ingens	8	Dowsett-Lemaire, F. (1988)
MORACEAE	Ficus	insculpta	3	Beehler, B. (1983)
MORACEAE	Ficus	insipida	29	Morrison, D.W. (1980)
MORACEAE	Ficus	kerkhovenii	25	Lambert, F. (1989)
MORACEAE	Ficus	kirkii	8	Dowsett-Lemaire, F. (1988)
MORACEAE	Ficus	leptoclada	4	Crome, F.H.J. (1975)
MORACEAE	Ficus	lutea	8	Dowsett-Lemaire, F. (1988)
MORACEAE	Ficus	macrosperma	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
MORACEAE	Ficus	natalens	15	Frost, P.G.H. (1980)
MORACEAE	Ficus	nitida	46	White, S.C. (1974)
MORACEAE	Ficus	nymphaefolia	2	Atramentowicz, M. (1988)
MORACEAE	Ficus	obliqua	3	Beehler, B. (1983)
MORACEAE	Ficus	obscura	25	Lambert, F. (1989)
MORACEAE	Ficus	odoardi	3	Beehler, B. (1983)
MORACEAE	Ficus	ovata	42	Thomas, D.W. (1984)
MORACEAE	Ficus	parietalis	25	Lambert, F. (1989)
MORACEAE	Ficus	pellucido-punctata	25	Lambert, F. (1989)
MORACEAE	Ficus	pisocarpa	25	Lambert, F. (1989)
MORACEAE	Ficus	polita	8	Dowsett-Lemaire, F. (1988)
MORACEAE	Ficus	punctata	25	Lambert, F. (1989)
MORACEAE	Ficus	recurvata	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
MORACEAE	Ficus	sagittata	25	Lambert, F. (1989)
MORACEAE	Ficus	sansibarica	8	Dowsett-Lemaire, F. (1988)
MORACEAE	Ficus	sinuata	25	Lambert, F. (1989)
MORACEAE	Ficus	sp.1	46	White, S.C. (1974)
MORACEAE	Ficus	sp.2	46	White, S.C. (1974)
MORACEAE	Ficus	sp.202	3	Beehler, B. (1983)
MORACEAE	Ficus	sp.217	3	Beehler, B. (1983)
MORACEAE	Ficus	sp.275	3	Beehler, B. (1983)
MORACEAE	Ficus	sp.3	49	Herrera, C.M. and P. Jordano (unpubl. data)
MORACEAE	Ficus	sp.371	3	Beehler, B. (1983)
MORACEAE	Ficus	stricta	25	Lambert, F. (1989)
MORACEAE	Ficus	stupenda	25	Lambert, F. (1989)
MORACEAE	Ficus	subcordata	25	Lambert, F. (1989)
MORACEAE	Ficus	subulata	25	Lambert, F. (1989)
MORACEAE	Ficus	sumatrana	25	Lambert, F. (1989)
MORACEAE	Ficus	sundaica1	25	Lambert, F. (1989)
MORACEAE	Ficus	sundaica2a	25	Lambert, F. (1989)
MORACEAE	Ficus	sundaica2b	25	Lambert, F. (1989)
MORACEAE	Ficus	sycomorus	8	Dowsett-Lemaire, F. (1988)
MORACEAE	Ficus	thonningii	8	Dowsett-Lemaire, F. (1988)
MORACEAE	Ficus	tonduzii	18	Hladik, A. and C.M. Hladik (1969)
MORACEAE	Ficus	trichocarpa	25	Lambert, F. (1989)
MORACEAE	Ficus	tuerckheimii	7	Dinerstein, E. (1986)
MORACEAE	Ficus	vallis-chondae1	8	Dowsett-Lemaire, F. (1988)
MORACEAE	Ficus	vallis-chondae2	42	Thomas, D.W. (1984)
MORACEAE	Ficus	variegata	25	Lambert, F. (1989)
MORACEAE	Ficus	velutina	7	Dinerstein, E. (1986)
MORACEAE	Ficus	virens1	25	Lambert, F. (1989)
MORACEAE	Ficus	virens2	4	Crome, F.H.J. (1975)
MORACEAE	Ficus	vogelii	15	Frost, P.G.H. (1980)
MORACEAE	Ficus	yoponensis1	7	Dinerstein, E. (1986)
MORACEAE	Ficus	yoponensis2	30	Nagy, K.A. and K. Milton (1979)
MORACEAE	Myrianthus	arboreus	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
MORACEAE	Perebea	guianensis	9	Erard, C., M. Thery and D. Sabatier (1989)
MORACEAE	Perebea	xanthochyra	18	Hladik, A. and C.M. Hladik (1969)
MORACEAE	Poulsenia	armata	11	Estrada, A., R. Coates-Estrada and C. V‡zquez-Yanes (1984)
MORACEAE	Pseudolmedia	oxyphyllaria	11	Estrada, A., R. Coates-Estrada and C. V‡zquez-Yanes (1984)
MORACEAE	Treculia	africana	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
MORACEAE	Trymatococcus	oligandrus	9	Erard, C., M. Thery and D. Sabatier (1989)
MUSACEAE	Ensete	ventricosum	8	Dowsett-Lemaire, F. (1988)
MUSACEAE	Musa	sp.	46	White, S.C. (1974)
MYRICACEAE	Myrica	salicifolia	8	Dowsett-Lemaire, F. (1988)
MYRISTICACEAE	Coelocaryon	preusii	41	Sourd, C. and A. Gauthier-Hion (1986)
MYRISTICACEAE	Iryanthera	sagotiana	9	Erard, C., M. Thery and D. Sabatier (1989)
MYRISTICACEAE	Myristica	muelleri	4	Crome, F.H.J. (1975)
MYRISTICACEAE	Myristica	subalulata	3	Beehler, B. (1983)
MYRISTICACEAE	Pycnanthus	angolensis1	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
MYRISTICACEAE	Pycnanthus	angolensis2	41	Sourd, C. and A. Gauthier-Hion (1986)
MYRISTICACEAE	Staudtia	gabonensis	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
MYRISTICACEAE	Virola	michelii	9	Erard, C., M. Thery and D. Sabatier (1989)
MYRISTICACEAE	Virola	sebifera	19	Howe, H.F. (1981)
MYRISTICACEAE	Virola	surinamensis	20	Howe, H.F. and G.A. Vande Kerckhove  (1981)
MYRSINACEAE	Ardisia	palmana	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
MYRSINACEAE	Ardisia	revoluta1	12	Foster, M.S. (1977)
MYRSINACEAE	Ardisia	revoluta2	49	Herrera, C.M. and P. Jordano (unpubl. data)
MYRSINACEAE	Embelia	sp.1	4	Crome, F.H.J. (1975)
MYRSINACEAE	Maesa	lanceolata	8	Dowsett-Lemaire, F. (1988)
MYRSINACEAE	Rapanea	melanophloeos	8	Dowsett-Lemaire, F. (1988)
MYRTACEAE	Eugenia	acapulcensis	7	Dinerstein, E. (1986)
MYRTACEAE	Eugenia	aff.smithii	4	Crome, F.H.J. (1975)
MYRTACEAE	Eugenia	capensis	8	Dowsett-Lemaire, F. (1988)
MYRTACEAE	Eugenia	jambos	46	White, S.C. (1974)
MYRTACEAE	Eugenia	johnsonii	4	Crome, F.H.J. (1975)
MYRTACEAE	Eugenia	nesiotica	46	White, S.C. (1974)
MYRTACEAE	Eugenia	sp.b	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
MYRTACEAE	Eugenia	uniflora	46	White, S.C. (1974)
MYRTACEAE	Myrcia	fallax	24	Keeler-Wolf, T. (1988)
MYRTACEAE	Myrtus	communis	17	Herrera, C.M. (1987)
MYRTACEAE	Psidium	guajava1	46	White, S.C. (1974)
MYRTACEAE	Psidium	guajava2	7	Dinerstein, E. (1986)
MYRTACEAE	Psidium	IF-6	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
MYRTACEAE	Syzygium	afromontanum	8	Dowsett-Lemaire, F. (1988)
MYRTACEAE	Syzygium	cordatum1	43	Viljoen, S. (1983)
MYRTACEAE	Syzygium	cordatum2	8	Dowsett-Lemaire, F. (1988)
MYRTACEAE	Syzygium	guineense1	8	Dowsett-Lemaire, F. (1988)
MYRTACEAE	Syzygium	guineense2	43	Viljoen, S. (1983)
MYRTACEAE	Syzygium	kuranda	4	Crome, F.H.J. (1975)
MYRTACEAE	Syzygium	sp.	3	Beehler, B. (1983)
MYRTACEAE	Syzygium	sp.nov	4	Crome, F.H.J. (1975)
MYRTACEAE	Ugni	montana	49	Herrera, C.M. and P. Jordano (unpubl. data)
OCHNACEAE	Ochna	holstii	8	Dowsett-Lemaire, F. (1988)
OCHNACEAE	Ochna	sp.1	43	Viljoen, S. (1983)
OCHNACEAE	Ochna	stolzii	8	Dowsett-Lemaire, F. (1988)
OCHNACEAE	Ouratea	lucens1	46	White, S.C. (1974)
OCHNACEAE	Ouratea	lucens2	49	Herrera, C.M. and P. Jordano (unpubl. data)
OLACACEAE	Heisteria	concinna	46	White, S.C. (1974)
OLACACEAE	Heisteria	costaricensis	46	White, S.C. (1974)
OLACACEAE	Heisteria	parvifolia	41	Sourd, C. and A. Gauthier-Hion (1986)
OLACACEAE	Ongokea	gore	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
OLACACEAE	Ximenia	americana	43	Viljoen, S. (1983)
OLEACEAE	Chionanthus	battiscombei	8	Dowsett-Lemaire, F. (1988)
OLEACEAE	Chionanthus	peglerae	43	Viljoen, S. (1983)
OLEACEAE	Chionanthus	ramifolia	4	Crome, F.H.J. (1975)
OLEACEAE	Jasminum	abyssinicum	8	Dowsett-Lemaire, F. (1988)
OLEACEAE	Jasminum	fruticans	17	Herrera, C.M. (1987)
OLEACEAE	Ligustrum	sinense	28	McPherson, J.M. (1987)
OLEACEAE	Ligustrum	vulgare	17	Herrera, C.M. (1987)
OLEACEAE	Notolaea	ligustrina	14	French, K. (1991)
OLEACEAE	Olea	africana	8	Dowsett-Lemaire, F. (1988)
OLEACEAE	Olea	capensis1	43	Viljoen, S. (1983)
OLEACEAE	Olea	capensis2	8	Dowsett-Lemaire, F. (1988)
OLEACEAE	Olea	europaea	17	Herrera, C.M. (1987)
OLEACEAE	Phillyrea	angustifolia	17	Herrera, C.M. (1987)
OLEACEAE	Phillyrea	latifolia	17	Herrera, C.M. (1987)
OLINIACEAE	Olinia	rochetiana	8	Dowsett-Lemaire, F. (1988)
ONAGRACEAE	Fuchsia	arborescens	49	Herrera, C.M. and P. Jordano (unpubl. data)
ONAGRACEAE	Fuchsia	microphylla	49	Herrera, C.M. and P. Jordano (unpubl. data)
PAEONIACEAE	Paeonia	broteroi	17	Herrera, C.M. (1987)
PALMAE	Archontophoenix	alexandrae	4	Crome, F.H.J. (1975)
PALMAE	Astrocaryum	munbaca	9	Erard, C., M. Thery and D. Sabatier (1989)
PALMAE	Astrocaryum	standleyanum	18	Hladik, A. and C.M. Hladik (1969)
PALMAE	Astrocaryum	vulgare	2	Atramentowicz, M. (1988)
PALMAE	Attalea	regia	2	Atramentowicz, M. (1988)
PALMAE	Bactris	cuesa	39	Snow, D.W. (1962)
PALMAE	Bactris	guienensis	49	Herrera, C.M. and P. Jordano (unpubl. data)
PALMAE	Chamaedorea	caudata	38	Snow, B.K. (1979)
PALMAE	Chamaedorea	sp.	49	Herrera, C.M. and P. Jordano (unpubl. data)
PALMAE	Chamaedorea	tepejilote	49	Herrera, C.M. and P. Jordano (unpubl. data)
PALMAE	Chamaedorea	wendlandiana	46	White, S.C. (1974)
PALMAE	Chamaerops	humilis	17	Herrera, C.M. (1987)
PALMAE	Elaeis	guineensis	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
PALMAE	Jessenia	oligocarpa	39	Snow, D.W. (1962)
PALMAE	Oenocarpus	bacaba	9	Erard, C., M. Thery and D. Sabatier (1989)
PALMAE	Oenocarpus	cf.Sp.Nov.	9	Erard, C., M. Thery and D. Sabatier (1989)
PALMAE	Pinanga	khulii	46	White, S.C. (1974)
PALMAE	Roystonea	regia	46	White, S.C. (1974)
PALMAE	Sabal	etonia	1	Abrahamson, W.G. and C.R. Abrahamson (1989)
PALMAE	Scheelea	zonensis	18	Hladik, A. and C.M. Hladik (1969)
PALMAE	Serenoa	repens	1	Abrahamson, W.G. and C.R. Abrahamson (1989)
PANDANACEAE	Pandanus	conoideus	3	Beehler, B. (1983)
PASSIFLORACEAE	Passiflora	coccinea	2	Atramentowicz, M. (1988)
PHYTOLACCACEAE	Phytolacca	americana1	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
PHYTOLACCACEAE	Phytolacca	americana2	46	White, S.C. (1974)
PHYTOLACCACEAE	Phytolacca	sp.	46	White, S.C. (1974)
PIPERACEAE	Macropiper	excelsum	47	Williams, C.K. (1982)
PIPERACEAE	Piper	amalago	7	Dinerstein, E. (1986)
PIPERACEAE	Piper	auritum	7	Dinerstein, E. (1986)
PIPERACEAE	Piper	bisasperatum	7	Dinerstein, E. (1986)
PIPERACEAE	Piper	dotanum	7	Dinerstein, E. (1986)
PIPERACEAE	Piper	epigynium	7	Dinerstein, E. (1986)
PIPERACEAE	Piper	gibbosum	7	Dinerstein, E. (1986)
PIPERACEAE	Piper	glabrescens	7	Dinerstein, E. (1986)
PIPERACEAE	Piper	lancaefolium	7	Dinerstein, E. (1986)
PIPERACEAE	Piper	sp.1	4	Crome, F.H.J. (1975)
PIPERACEAE	Piper	umbellata	7	Dinerstein, E. (1986)
PITTOSPORACEAE	Billardiera	scandens	14	French, K. (1991)
PITTOSPORACEAE	Pittosporum	viridiflorum	8	Dowsett-Lemaire, F. (1988)
POLYGALACEAE	Monnina	sp.	49	Herrera, C.M. and P. Jordano (unpubl. data)
POLYGALACEAE	Moutabea	guianensis	9	Erard, C., M. Thery and D. Sabatier (1989)
POLYGALACEAE	Xanthophyllum	octandrum	4	Crome, F.H.J. (1975)
POLYGONACEAE	Coccoloba	manzanillensis	48	Worthington, A.H. (1989)
POLYGONACEAE	Coccoloba	sp.	9	Erard, C., M. Thery and D. Sabatier (1989)
POLYGONACEAE	Muehlenbeckia	tammifolia	49	Herrera, C.M. and P. Jordano (unpubl. data)
RANUNCULACEAE	Actaea	rubra	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
RANUNCULACEAE	Actaea	rubraf.n	33	Piper, J.K. (1986)
RANUNCULACEAE	Actaea	rubraf.r	33	Piper, J.K. (1986)
RANUNCULACEAE	Actaea	spicata1	10	Eriksson, O. and J. Ehrlen (1991)
RANUNCULACEAE	Actaea	spicata2	17	Herrera, C.M. (1987)
RHAMNACEAE	Frangula	alnus	17	Herrera, C.M. (1987)
RHAMNACEAE	Rhamnus	alaternus	17	Herrera, C.M. (1987)
RHAMNACEAE	Rhamnus	alpinus	17	Herrera, C.M. (1987)
RHAMNACEAE	Rhamnus	cathartica	5	Debussche, M., J. Cortez and I. Rimbault (1987)
RHAMNACEAE	Rhamnus	cathartica	36	Sherburne, J.A. (1972)
RHAMNACEAE	Rhamnus	catharticus	17	Herrera, C.M. (1987)
RHAMNACEAE	Rhamnus	lycioides	17	Herrera, C.M. (1987)
RHAMNACEAE	Rhamnus	myrtifolius	17	Herrera, C.M. (1987)
RHAMNACEAE	Rhamnus	palaestinus	21	Izhaki, I. and U.N. Safriel (1989)
RHAMNACEAE	Rhamnus	prinoides	8	Dowsett-Lemaire, F. (1988)
RHAMNACEAE	Rhamnus	purshiana	33	Piper, J.K. (1986)
RHAMNACEAE	Rhamnus	saxatilis	5	Debussche, M., J. Cortez and I. Rimbault (1987)
RHAMNACEAE	Scutia	myrtina	43	Viljoen, S. (1983)
RHAMNACEAE	Ziziphus	lotus	17	Herrera, C.M. (1987)
RHAMNACEAE	Ziziphus	mucronata	43	Viljoen, S. (1983)
ROSACEAE	Amelanchier	alnifolia	33	Piper, J.K. (1986)
ROSACEAE	Amelanchier	ovalis	17	Herrera, C.M. (1987)
ROSACEAE	Cotoneaster	granatensis	17	Herrera, C.M. (1987)
ROSACEAE	Cotoneaster	integerrimus	17	Herrera, C.M. (1987)
