FAMILY	GENUS	SPECIES	NEWREF	REFERENCE
ARALIACEAE	Panax	quinquefolius	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
ARALIACEAE	Polyscias	australianum	4	Crome, F.H.J. (1975)
ARALIACEAE	Polyscias	elegans	4	Crome, F.H.J. (1975)
ARALIACEAE	Polyscias	fulva	14	French, K. (1991)
ARALIACEAE	Polyscias	sambucifolia	8	Dowsett-Lemaire, F. (1988)
ARALIACEAE	Schefflera	abyssinica	8	Dowsett-Lemaire, F. (1988)
ARALIACEAE	Schefflera	elliptica	31	O'Dowd, D.J. and P.S. Lake (1991)
ARALIACEAE	Schefflera	pachystyla	3	Beehler, B. (1983)
ARALIACEAE	Schefflera	paraensis	9	Erard, C., M. Thery and D. Sabatier (1989)
ARALIACEAE	Schefflera	umbellifera	8	Dowsett-Lemaire, F. (1988)
BERBERIDACEAE	Berberis	hispanica	17	Herrera, C.M. (1987)
BERBERIDACEAE	Berberis	vulgaris	17	Herrera, C.M. (1987)
BERBERIDACEAE	Caulophyllum	thalictroides	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
BERBERIDACEAE	Nandina	domestica	28	McPherson, J.M. (1987)
BOMBACACEAE	Durio	zibethinus	32	Pannell, C.M. and M.J. Koziol (1987)
BORAGINACEAE	Cordia	exaltata	2	Atramentowicz, M. (1988)
BORAGINACEAE	Cordia	nitida	46	White, S.C. (1974)
BORAGINACEAE	Ehretia	cymosa	8	Dowsett-Lemaire, F. (1988)
BORAGINACEAE	Ehretia	rigida	43	Viljoen, S. (1983)
BURSERACEAE	Canarium	australianum	4	Crome, F.H.J. (1975)
BURSERACEAE	Canarium	muelleri	4	Crome, F.H.J. (1975)
BURSERACEAE	Dacryodes	buettneri	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
BURSERACEAE	Dacryodes	nitens	9	Erard, C., M. Thery and D. Sabatier (1989)
BURSERACEAE	Dacryodes	sp.1	39	Snow, D.W. (1962)
BURSERACEAE	Dacryodes	sp.2	9	Erard, C., M. Thery and D. Sabatier (1989)
BURSERACEAE	Protium	apiculatum	9	Erard, C., M. Thery and D. Sabatier (1989)
BURSERACEAE	Protium	heptaphyllum	9	Erard, C., M. Thery and D. Sabatier (1989)
BURSERACEAE	Protium	sagotianum	2	Atramentowicz, M. (1988)
BURSERACEAE	Tetragastris	altissima	9	Erard, C., M. Thery and D. Sabatier (1989)
BURSERACEAE	Tetragastris	panamensis	46	White, S.C. (1974)
BURSERACEAE	Trattinickia	sp.	9	Erard, C., M. Thery and D. Sabatier (1989)
CAPRIFOLIACEAE	Lonicera	arborea	17	Herrera, C.M. (1987)
