fam	gen	sp	species	cod	dispcat	fruit	leng	diam	frfm	pdm	sdm	seeds	seedm	ry	kjg	kjfr	pcw	lip	pro	nsc	ash	fib	disp
Rosaceae	Pyrus	bourgaeana	Pyrus_bourgaeana	PBOU	Mammals	Berry2	20.5	23.3	6.754	2.639	0.234	7.9	0.030	39.1	16.66	43.97	57.5	0.007	0.036	0.477	0.020	0.460	4
Rosaceae	Rosa	canina	Rosa_canina	RCAN	Mixed	Berry2	15.0	9.2	0.652	0.189	0.103	11.0	0.009	29.0	16.62	3.14	55.2	0.028	0.043	0.724	0.051	0.153	3
Rosaceae	Rosa	sp.1	Rosa_sp1	RSP1	Mixed	Berry2	13.0	9.4	0.452	0.122	0.101	8.6	0.012	27.0	16.24	1.98	50.7	0.017	0.041	0.726	0.059	0.156	3
Rosaceae	Rosa	sp.3	Rosa_sp3	RSP3	Mixed	Berry2	23.3	16.6	3.221	0.691	0.661	31.7	0.021	21.4	16.20	11.18	57.4	0.016	0.054	0.717	0.060	0.153	3
Rosaceae	Rosa	sp.4	Rosa_sp4	RGLO	Mixed	Berry2	22.2	17.9	2.860	0.659	0.454	38.5	0.012	23.0	16.66	10.98	61.1	0.036	0.040	0.732	0.060	0.132	3
Rosaceae	Rubus	idaeus	Rubus_idaeus	RIDA	Mixed	Other	10.2	12.3	0.762	0.071	0.080	39.3	0.002	9.3	NA	NA	80.3	NA	NA	NA	NA	NA	3
Rosaceae	Rubus	ulmifolius	Rubus_ulmifolius	RULM	Mixed	Other	13.1	11.8	0.729	0.126	0.087	28.8	0.002	17.3	19.17	2.41	78.7	0.035	0.059	0.876	0.029	0.120	3
Rosaceae	Sorbus	aria	Sorbus_aria	SARI	Mixed	Berry2	11.0	11.0	0.689	0.255	0.030	3.8	0.008	37.1	17.04	4.35	53.2	0.028	0.030	0.616	0.024	0.301	4
Rosaceae	Sorbus	aucuparia	Sorbus_aucuparia	SAUC	Mixed	Berry2	10.0	9.3	0.451	0.112	0.002	1.4	0.002	24.8	17.20	1.92	76.6	0.031	0.032	0.762	0.017	0.159	2
Rosaceae	Sorbus	domestica	Sorbus_domestica	SDOM	Mammals	Berry2	21.1	19.3	4.150	1.936	0.054	1.8	0.030	46.6	16.74	32.41	52.0	0.013	0.028	0.473	0.022	0.464	5
Rosaceae	Sorbus	latifolia	Sorbus_latifolia	SLAT	Mixed	Berry2	13.9	12.5	1.235	0.379	0.038	1.6	0.024	30.7	16.70	6.33	66.2	0.022	0.024	0.662	0.036	0.256	2
Rosaceae	Sorbus	mougeotti	Sorbus_mougeotti	SMOU	Mammals	Berry2	10.7	9.7	0.479	0.138	0.010	2.7	0.004	28.7	17.24	2.37	69.3	0.035	0.025	0.722	0.022	0.196	5
Rosaceae	Sorbus	torminalis	Sorbus_torminalis	STOR	Mixed	Berry2	11.6	9.8	0.765	0.293	0.052	2.5	0.021	38.3	16.74	4.91	54.8	0.029	0.019	0.561	0.041	0.350	3
Rubiaceae	Putoria	calabrica	Putoria_calabrica	PCAL	Birds	Drupe2	5.4	3.7	0.033	0.003	0.006	2.0	0.003	9.1	NA	NA	73.9	NA	NA	NA	NA	NA	1
Rubiaceae	Rubia	peregrina	Rubia_peregrina	RPER	Birds	Berry1	5.8	6.1	0.101	0.012	0.011	1.2	0.009	12.1	18.17	0.22	76.9	0.099	0.052	0.645	0.059	0.148	1
Santalaceae	Osyris	alba	Osyris_alba	OALB	Birds	Drupe1	8.3	9.4	0.489	0.096	0.099	1.0	0.099	19.6	16.99	1.63	60.0	0.015	0.054	0.856	0.032	0.064	1
Santalaceae	Osyris	quadripartita	Osyris_quadripartita	OQUA	Birds	Drupe1	7.5	7.3	0.245	0.023	0.080	1.0	0.080	9.4	15.99	0.37	57.8	0.014	0.063	0.737	0.082	0.113	1
Smilacaceae	Smilax	aspera	Smilax_aspera	SASP	Birds	Berry1	7.3	7.3	0.192	0.025	0.039	1.5	0.026	13.1	15.95	0.40	66.8	0.021	0.053	0.685	0.087	0.157	1
Solanaceae	Atropa	baetica	Atropa_baetica	ABAE	Birds	Berry2	10.0	12.1	0.647	0.097	0.059	35.2	0.002	15.0	16.58	1.61	75.4	0.008	0.065	0.855	0.030	0.042	1
Solanaceae	Atropa	belladona1	Atropa_belladona1	ABEL1	Birds	Berry2	11.4	13.4	0.763	0.073	0.105	119.6	0.001	9.5	15.45	1.12	78.1	0.025	0.073	0.694	0.119	0.089	1
Solanaceae	Mandragora	autumnalis	Mandragora_autumnalis	MAUT	Mixed	Berry2	22.0	16.2	3.314	0.256	0.222	25.3	0.009	7.7	17.16	4.39	85.7	0.038	0.198	0.561	0.060	0.152	1
Solanaceae	Solanum	dulcamara	Solanum_dulcamara	SDUL	Birds	Berry2	11.0	7.7	0.373	0.043	0.041	27.6	0.002	11.5	NA	NA	77.5	NA	NA	NA	NA	NA	1
Solanaceae	Solanum	nigrum	Solanum_nigrum	SNIG	Birds	Berry2	6.7	7.2	0.214	0.009	0.039	40.2	0.001	4.2	NA	NA	78.9	NA	NA	NA	NA	NA	1
Taxaceae	Taxus	baccata	Taxus_baccata	TBAC	Birds	Drupe1	10.9	10.3	0.764	0.159	0.070	1.0	0.070	20.8	16.45	0.10	66.3	0.001	0.002	0.935	0.001	0.003	2
Thymelaeaceae	Daphne	gnidium	Daphne_gnidium	DGNI	Birds	Drupe1	6.2	5.0	0.102	0.010	0.009	1.0	0.009	9.3	16.91	0.16	81.9	0.026	0.079	0.805	0.035	0.056	1
Thymelaeaceae	Daphne	laureola	Daphne_laureola	DLAU	Birds	Drupe1	9.4	6.4	0.204	0.022	0.022	1.0	0.022	10.6	16.24	0.35	78.8	0.015	0.052	0.787	0.061	0.088	1
Thymelaeaceae	Daphne	oleoides	Daphne_oleoides	DOLE	Birds	Drupe1	5.9	4.9	0.089	0.011	0.007	1.0	0.007	12.0	17.29	0.18	81.0	0.051	0.090	0.734	0.052	0.075	1
Ulmaceae	Celtis	australi	Celtis_australi	CAUS	Mixed	Drupe1	10.1	8.9	0.509	0.222	0.134	1.0	0.134	43.7	16.49	3.67	24.1	0.009	0.037	0.815	0.049	0.106	2
Viscaceae	Viscum	album	Viscum_album	VALB	Birds	Drupe1	8.3	7.5	0.294	0.058	0.011	1.0	0.011	19.7	18.17	1.05	76.9	0.086	0.041	0.739	0.039	0.095	1
Viscaceae	Viscum	cruciatum	Viscum_cruciatum	VCRU	Birds	Drupe1	5.8	6.2	0.151	0.032	0.011	1.0	0.011	21.1	19.38	0.62	71.4	0.143	0.059	0.601	0.046	0.151	1
Vitaceae	Vitis	vinifera	Vitis_vinifera	VVIN	Mixed	Drupe1	10.1	9.8	0.640	0.133	0.050	1.8	0.028	20.8	16.79	2.23	71.4	0.017	0.024	0.868	0.025	0.065	3
